Volume (mL),pH Value
0.000,1.188
0.200,1.215
0.400,1.224
0.600,1.272
0.800,1.311
1.000,1.327
1.200,1.364
1.400,1.391
1.600,1.443
1.800,1.485
2.000,1.520
2.200,1.578
2.400,1.641
2.600,1.670
2.800,1.743
3.000,1.819
3.200,1.888
3.400,1.982
3.600,2.074
3.800,2.196
4.000,2.359
4.200,2.601
4.400,3.026
4.600,5.730
4.800,9.037
5.000,10.161
5.200,10.744
5.400,11.272
5.600,11.606
5.800,11.821
6.000,11.992
6.200,12.106
6.400,12.176
6.600,12.236
6.800,12.331
7.000,12.356
7.200,12.418
7.400,12.444
7.600,12.462
7.800,12.541
8.000,12.544
8.200,12.593
8.400,12.623
8.600,12.632
8.800,12.663
9.000,12.695
9.200,12.676
9.400,12.725
9.600,12.730
9.800,12.775
10.000,12.762
